date,price
2017-02-20,20300.0
2017-02-21,20090.0
2017-02-22,20040.0
2017-02-23,18690.0
2017-02-24,18800.0
2017-02-27,18785.0
2017-02-28,18490.0
2017-03-01,18745.0
2017-03-02,18855.0
2017-03-03,19100.0
2017-03-06,18710.0
2017-03-07,18625.0
2017-03-08,17780.0
2017-03-09,17555.0
2017-03-10,17640.0
2017-03-13,17820.0
2017-03-14,17515.0
2017-03-15,17715.0
2017-03-16,17820.0
2017-03-17,18230.0
2017-03-20,17880.0
2017-03-21,17510.0
2017-03-22,16560.0
2017-03-23,16580.0
2017-03-24,16865.0
2017-03-27,16150.0
2017-03-28,16235.0
2017-03-29,16615.0
2017-03-30,16300.0
2017-03-31,16335.0
2017-04-05,16970.0
2017-04-06,16815.0
2017-04-07,15675.0
2017-04-10,15520.0
2017-04-11,15410.0
2017-04-12,14770.0
2017-04-13,14985.0
2017-04-14,14830.0
2017-04-17,14905.0
2017-04-18,14610.0
2017-04-19,14385.0
2017-04-20,14800.0
2017-04-21,14805.0
2017-04-24,14815.0
2017-04-25,14670.0
2017-04-26,14510.0
2017-04-27,14610.0
2017-04-28,14760.0
2017-05-02,15245.0
2017-05-03,15095.0
2017-05-04,14080.0
2017-05-05,13600.0
2017-05-08,13565.0
2017-05-09,13630.0
2017-05-10,13305.0
2017-05-11,13725.0
2017-05-12,13540.0
2017-05-15,13715.0
2017-05-16,13925.0
2017-05-17,13785.0
2017-05-18,13490.0
2017-05-19,13775.0
2017-05-22,13850.0
2017-05-23,13960.0
2017-05-24,13700.0
2017-05-25,13750.0
2017-05-26,13465.0
2017-05-31,12510.0
2017-06-01,12480.0
2017-06-02,12405.0
2017-06-05,12530.0
2017-06-06,12455.0
2017-06-07,12550.0
2017-06-08,12405.0
2017-06-09,12475.0
2017-06-12,12675.0
2017-06-13,12325.0
2017-06-14,12900.0
2017-06-15,12845.0
2017-06-16,12875.0
2017-06-19,12690.0
2017-06-20,12630.0
2017-06-21,12565.0
2017-06-22,12410.0
2017-06-23,12670.0
2017-06-26,12730.0
2017-06-27,12955.0
2017-06-28,13080.0
2017-06-29,13500.0
2017-06-30,13335.0
2017-07-03,13500.0
2017-07-04,12715.0
2017-07-05,12830.0
2017-07-06,12900.0
2017-07-07,12885.0
2017-07-10,12690.0
2017-07-11,12910.0
2017-07-12,13235.0
2017-07-13,13245.0
2017-07-14,13455.0
2017-07-17,13495.0
2017-07-18,13460.0
2017-07-19,14045.0
2017-07-20,14035.0
2017-07-21,13970.0
2017-07-24,13515.0
2017-07-25,13640.0
2017-07-26,13420.0
2017-07-27,13480.0
2017-07-28,12500.0
2017-07-31,12545.0
2017-08-01,12430.0
2017-08-02,15235.0
2017-08-03,15245.0
2017-08-04,15705.0
2017-08-07,16030.0
2017-08-08,16070.0
2017-08-09,16615.0
2017-08-10,16460.0
2017-08-11,15935.0
2017-08-14,15920.0
2017-08-15,16215.0
2017-08-16,16265.0
2017-08-17,16435.0
2017-08-18,16580.0
2017-08-21,16585.0
2017-08-22,16700.0
2017-08-23,16475.0
2017-08-24,16420.0
2017-08-25,16720.0
2017-08-28,16645.0
2017-08-29,16445.0
2017-08-30,16395.0
2017-08-31,16545.0
2017-09-01,16620.0
2017-09-04,17165.0
2017-09-05,17335.0
2017-09-06,17570.0
2017-09-07,17490.0
2017-09-08,16760.0
2017-09-11,16665.0
2017-09-12,16750.0
2017-09-13,16775.0
2017-09-14,16420.0
2017-09-15,15725.0
2017-09-18,15210.0
2017-09-19,14960.0
2017-09-20,15085.0
2017-09-21,14515.0
2017-09-22,14565.0
2017-09-25,14580.0
2017-09-26,14625.0
2017-09-27,14655.0
2017-09-28,13605.0
2017-09-29,13495.0
2017-10-09,11120.0
2017-10-10,13315.0
2017-10-11,13245.0
2017-10-12,13375.0
2017-10-13,13575.0
2017-10-16,13580.0
2017-10-17,13530.0
2017-10-18,13570.0
2017-10-19,13365.0
2017-10-20,13700.0
2017-10-23,13500.0
2017-10-24,13425.0
2017-10-25,13535.0
2017-10-26,13555.0
2017-10-27,13330.0
2017-10-30,13285.0
2017-10-31,13260.0
2017-11-01,13595.0
2017-11-02,13785.0
2017-11-03,13690.0
