date,price,stocks,price_change,stock_diff,stock_5y_avg,stock_deviation,event_covid,event_ukraine,event_mideast
2021-06-07,69.2300033569336,1100513.0,-0.0056018295642423,0.0,1127827.95,-27314.949999999953,0,0,0
2021-06-08,70.05000305175781,1100513.0,0.0118445710683632,0.0,1127749.538888889,-27236.5388888889,0,0,0
2021-06-09,69.95999908447266,1100513.0,-0.0012848531529492,0.0,1127673.0031746032,-27160.00317460322,0,0,0
2021-06-10,70.29000091552734,1100513.0,0.0047170073666842,0.0,1127596.4674603175,-27083.467460317537,0,0,0
2021-06-11,70.91000366210938,1092267.0,0.0088206393300112,-8246.0,1127513.3873015873,-35246.38730158727,0,0,0
2021-06-14,70.87999725341797,1092267.0,-0.000423161855052,0.0,1127430.3071428572,-35163.30714285723,0,0,0
2021-06-15,72.12000274658203,1092267.0,0.01749443483654,0.0,1127347.226984127,-35080.22698412696,0,0,0
2021-06-16,72.1500015258789,1092267.0,0.0004159564358627,0.0,1127264.8873015873,-34997.88730158727,0,0,0
2021-06-17,71.04000091552734,1092267.0,-0.0153846235187317,0.0,1127182.5476190476,-34915.547619047575,0,0,0
2021-06-18,71.63999938964844,1082948.0,0.0084459243579479,-9319.0,1127092.811904762,-44144.81190476194,0,0,0
2021-06-21,73.66000366210938,1082948.0,0.028196598124941,0.0,1127003.0761904763,-44055.076190476306,0,0,0
2021-06-22,73.05999755859375,1082948.0,-0.0081456159881276,0.0,1126913.3404761904,-43965.34047619044,0,0,0
2021-06-23,73.08000183105469,1082948.0,0.0002738060926554,0.0,1126824.3325396825,-43876.33253968251,0,0,0
2021-06-24,73.30000305175781,1082948.0,0.0030104161903514,0.0,1126735.3246031746,-43787.32460317458,0,0,0
2021-06-25,74.05000305175781,1074829.0,0.0102319231756431,-8119.0,1126639.873015873,-51810.8730158729,0,0,0
2021-06-28,72.91000366210938,1074829.0,-0.0153949944992118,0.0,1126544.4214285715,-51715.421428571455,0,0,0
2021-06-29,72.9800033569336,1074829.0,0.0009600835455807,0.0,1126448.9698412698,-51619.969841269776,0,0,0
2021-06-30,73.47000122070312,1074829.0,0.0067141386849904,0.0,1126356.734920635,-51527.73492063489,0,0,0
2021-07-01,75.2300033569336,1074829.0,0.0239553846057989,0.0,1126264.5,-51435.5,0,0,0
2021-07-02,75.16000366210938,1066780.0,-0.0009304757636671,-8049.0,1126165.876984127,-59385.8769841271,0,0,0
2021-07-06,73.37000274658203,1066780.0,-0.0238158705203701,0.0,1126067.253968254,-59287.253968253965,0,0,0
2021-07-07,72.19999694824219,1066780.0,-0.0159466506002597,0.0,1125968.630952381,-59188.63095238106,0,0,0
2021-07-08,72.94000244140625,1066780.0,0.0102493839950512,0.0,1125871.7738095238,-59091.77380952379,0,0,0
2021-07-09,74.55999755859375,1058884.0,0.0222099679594727,-7896.0,1125768.65,-66884.6499999999,0,0,0
2021-07-12,74.0999984741211,1058884.0,-0.0061695158199429,0.0,1125665.5261904763,-66781.52619047626,0,0,0
2021-07-13,75.25,1058884.0,0.0155195890628869,0.0,1125562.4023809524,-66678.40238095238,0,0,0
